s,Pa,rpm
9.83526000,-0.660278677940369,1133.93894509182
9.83528000,-0.585899591445923,1133.94254391075
9.83530000,-0.522343218326569,1133.94614272967
9.83532000,-0.465610831975937,1133.94974154859
9.83534000,-0.396844923496246,1133.95334036752
9.83536000,-0.316777557134628,1133.95693918644
9.83538000,-0.256121635437012,1133.96053800536
9.83540000,-0.225615307688713,1133.96413682429
9.83542000,-0.188087850809097,1133.96773564321
9.83544000,-0.134584471583366,1133.97133446214
9.83546000,-0.0984086766839027,1133.97493328106
9.83548000,-0.100210897624493,1133.97853209998
9.83550000,-0.100323535501957,1133.98213091891
9.83552000,-0.0897918194532394,1133.98572973783
9.83554000,-0.0948605611920357,1133.98932855675
9.83556000,-0.127535164356232,1133.99292737568
9.83558000,-0.155263066291809,1133.9965261946
9.83560000,-0.15952455997467,1134.00012501353
9.83562000,-0.165588274598122,1134.00372383245
9.83564000,-0.192452609539032,1134.00732265137
9.83566000,-0.215947166085243,1134.0109214703
9.83568000,-0.219129204750061,1134.01452028922
9.83570000,-0.22957643866539,1134.01811910814
9.83572000,-0.270933628082275,1134.02171792707
9.83574000,-0.313679993152618,1134.02531674599
9.83576000,-0.326304912567139,1134.02891556491
9.83578000,-0.35196778178215,1134.03251438384
9.83580000,-0.397295475006103,1134.03611320276
9.83582000,-0.43894362449646,1134.03971202169
9.83584000,-0.46465340256691,1134.04331084061
9.83586000,-0.511041760444641,1134.04690965953
9.83588000,-0.585054814815521,1134.05050847846
9.83590000,-0.645598113536835,1134.05410729738
9.83592000,-0.661893129348755,1134.0577061163
9.83594000,-0.670866727828979,1134.06130493523
9.83596000,-0.694905698299408,1134.06490375415
9.83598000,-0.71442973613739,1134.06850257307
9.83600000,-0.704733431339264,1134.072101392
9.83602000,-0.698735415935516,1134.07570021092
9.83604000,-0.710459232330322,1134.07929902985
